cube15cam2_62 icam: 1 direction: 0 [189.37, 197.79, 49.83, 11.02, 664.63, 668.98, 0.36756, 0] size(outline) :666.74,677.21
cube16cam2_32 icam: 1 direction: 1 [184.82, 189.89, 48.51, 9.12, 658.0, 657.7, 0.31785, 1] size(outline) :658.61,660.08
cube16cam1_41 icam: 1 direction: 0 [188.58, 198.75, 50.0, 8.75, 662.58, 668.31, 0.21616, 0] size(outline) :663.47,678.83
cube17cam1_11 icam: 1 direction: 0 [194.17, 201.94, 49.5, 7.86, 665.23, 669.25, 0.0102, 0] size(outline) :668.3,665.04
cube16cam3_54 icam: 1 direction: 0 [188.58, 198.75, 50.0, 8.75, 662.58, 668.31, 0.21616, 0] size(outline) :663.47,678.83
cube17cam3_24 icam: 1 direction: 3 [182.82, 191.53, 50.27, 13.61, 664.96, 670.0, 0, 3] size(outline) :666.13,669.66
cube16cam2_62 icam: 1 direction: 0 [188.58, 198.75, 50.0, 8.75, 662.58, 668.31, 0.21616, 0] size(outline) :663.47,678.83
cube17cam2_32 icam: 1 direction: 1 [185.71, 189.36, 48.98, 8.96, 663.06, 657.69, 0.38552, 1] size(outline) :664.28,660.65
cube17cam1_41 icam: 1 direction: 0 [194.47, 201.4, 50.16, 10.57, 663.77, 666.57, 0.30812, 0] size(outline) :666.33,675.36
cube18cam1_11 icam: 1 direction: 0 [189.11, 201.0, 50.23, 12.24, 663.76, 663.12, 0, 0] size(outline) :663.92,662.26
cube17cam3_54 icam: 1 direction: 0 [194.47, 201.4, 50.16, 10.57, 663.77, 666.57, 0.30812, 0] size(outline) :666.33,675.36
cube18cam3_24 icam: 1 direction: 3 [196.3, 190.01, 52.1, 7.3, 665.75, 662.34, 0, 3] size(outline) :665.99,661.49
cube17cam2_62 icam: 1 direction: 0 [194.47, 201.4, 50.16, 10.57, 663.77, 666.57, 0.30812, 0] size(outline) :666.33,675.36
cube18cam2_32 icam: 1 direction: 1 [192.59, 192.08, 49.56, 6.15, 654.79, 656.32, 0, 1] size(outline) :655.34,655.88
cube18cam1_41 icam: 1 direction: 0 [192.5, 189.16, 49.51, 12.33, 660.99, 664.53, 0, 0] size(outline) :660.19,668.2
cube19cam1_11 icam: 1 direction: 0 [191.54, 198.7, 49.28, 24.2, 663.95, 664.95, 0.39392, 0] size(outline) :665.79,670.01
cube18cam3_54 icam: 1 direction: 0 [192.5, 189.16, 49.51, 12.33, 660.99, 664.53, 0, 0] size(outline) :660.19,668.2
